query_file,ground_truth_pid,predicted_pid,ground_truth_rank,top_similarity,correct_rank1
1380.jpg,1380,m-082,85,0.5643,False
13920.jpg,13920,28358,5,0.6177,False
13979.jpg,13979,22386,117,0.7223,False
13988.jpg,13988,17279,113,0.5761,False
14014.jpg,14014,28358,10,0.6376,False
14050.jpg,14050,15681,244,0.681,False
14080.jpg,14080,12455,162,0.6868,False
14083.jpg,14083,14083,1,0.7076,True
14116.jpg,14116,m-047,228,0.5294,False
14168.jpg,14168,m-029,418,0.5844,False
14189.jpg,14189,16369,62,0.6359,False
14213.jpg,14213,25114,211,0.7308,False
14364.jpg,14364,23333,492,0.574,False
14401.jpg,14401,15242,194,0.729,False
14416.jpg,14416,17279,111,0.5973,False
14499.jpg,14499,22386,16,0.6589,False
14501.jpg,14501,26906,251,0.7303,False
14523.jpg,14523,11907,23,0.6889,False
14540.jpg,14540,23842,416,0.5881,False
14575.jpg,14575,27728,137,0.7181,False
1458.jpg,1458,14499,206,0.6431,False
14682.jpg,14682,17279,231,0.5673,False
14726.jpg,14726,17279,526,0.5748,False
14733.jpg,14733,26906,4,0.6719,False
1475.jpg,1475,23702,18,0.7444,False
14825.jpg,14825,24471,67,0.5948,False
14826.jpg,14826,11907,29,0.6501,False
14832.jpg,14832,29264,2,0.637,False
14836.jpg,14836,20246,689,0.5633,False
14907.jpg,14907,16955,217,0.6226,False
14914.jpg,14914,29264,7,0.7216,False
15033.jpg,15033,23884,189,0.6684,False
15051.jpg,15051,18040,70,0.6171,False
15153.jpg,15153,2188,97,0.684,False
15165.jpg,15165,23333,124,0.6676,False
15211.jpg,15211,11907,382,0.5501,False
15242.jpg,15242,20868,11,0.6901,False
15251.jpg,15251,22207,18,0.7052,False
15270.jpg,15270,23333,60,0.6826,False
15298.jpg,15298,15534,387,0.7231,False
15358.jpg,15358,23842,137,0.6357,False
15364.jpg,15364,28358,207,0.5872,False
15479.jpg,15479,29523,12,0.654,False
15534.jpg,15534,17279,8,0.6577,False
15633.jpg,15633,23884,27,0.6265,False
15681.jpg,15681,11468,23,0.64,False
15727.jpg,15727,16113,5,0.723,False
15804.jpg,15804,2322,435,0.5109,False
15853.jpg,15853,14825,65,0.7547,False
15864.jpg,15864,28168,102,0.5349,False
1588.jpg,1588,25114,191,0.7234,False
1589.jpg,1589,17279,365,0.627,False
15893.jpg,15893,23842,104,0.6857,False
1590.jpg,1590,14499,489,0.6344,False
15938.jpg,15938,23884,258,0.6512,False
15985.jpg,15985,2835,263,0.5986,False
15996.jpg,15996,14499,97,0.7081,False
16113.jpg,16113,16113,1,0.6324,True
1622.jpg,1622,23842,48,0.6493,False
1627.jpg,1627,2188,94,0.6809,False
16272.jpg,16272,28358,305,0.6143,False
16311.jpg,16311,14014,393,0.574,False
16369.jpg,16369,11907,170,0.6924,False
1639.jpg,1639,m-098,481,0.6448,False
16392.jpg,16392,11907,136,0.6909,False
16441.jpg,16441,22207,33,0.7549,False
16502.jpg,16502,20246,164,0.5721,False
16508.jpg,16508,28358,3,0.7466,False
1652.jpg,1652,12971,118,0.6461,False
16566.jpg,16566,m-029,50,0.5585,False
16599.jpg,16599,28358,28,0.6393,False
1662.jpg,1662,23884,276,0.7344,False
16641.jpg,16641,23842,6,0.6672,False
16698.jpg,16698,17279,58,0.6021,False
16741.jpg,16741,26906,22,0.5658,False
16808.jpg,16808,26906,486,0.563,False
16833.jpg,16833,14499,207,0.7287,False
16888.jpg,16888,17279,191,0.6757,False
16896.jpg,16896,14014,630,0.5812,False
16955.jpg,16955,22386,66,0.6388,False
1701.jpg,1701,15242,4,0.665,False
17039.jpg,17039,23702,180,0.6898,False
17046.jpg,17046,23884,159,0.6959,False
17079.jpg,17079,m-029,529,0.5724,False
17104.jpg,17104,10517,13,0.7003,False
17128.jpg,17128,11907,7,0.72,False
17203.jpg,17203,22287,16,0.7168,False
17204.jpg,17204,22287,4,0.6871,False
17205.jpg,17205,1886,12,0.6865,False
17235.jpg,17235,m-029,530,0.7119,False
17269.jpg,17269,23842,263,0.5758,False
17279.jpg,17279,14014,4,0.5691,False
17282.jpg,17282,14499,142,0.7249,False
17301.jpg,17301,12910,324,0.6247,False
17345.jpg,17345,17279,502,0.6531,False
17355.jpg,17355,16441,81,0.6476,False
17416.jpg,17416,18040,184,0.6793,False
17478.jpg,17478,23702,392,0.6996,False
17490.jpg,17490,26328,39,0.7636,False
17513.jpg,17513,27744,2,0.7121,False
17577.jpg,17577,16599,254,0.6215,False
17621.jpg,17621,14116,153,0.6995,False
17637.jpg,17637,28358,180,0.6263,False
17647.jpg,17647,14189,95,0.6219,False
17654.jpg,17654,11907,482,0.6735,False
17672.jpg,17672,27744,21,0.6952,False
17698.jpg,17698,1996,33,0.7251,False
17805.jpg,17805,27728,369,0.6822,False
17839.jpg,17839,11907,174,0.5966,False
17861.jpg,17861,11907,335,0.7024,False
1795.jpg,1795,23884,5,0.7398,False
18040.jpg,18040,15534,2,0.5799,False
18064.jpg,18064,18218,166,0.7216,False
18126.jpg,18126,14733,139,0.7643,False
18135.jpg,18135,19466,220,0.562,False
18171.jpg,18171,23884,119,0.6232,False
18218.jpg,18218,21060,7,0.6939,False
18224.jpg,18224,m-029,434,0.6171,False
18231.jpg,18231,m-029,682,0.5946,False
18232.jpg,18232,28358,594,0.7324,False
1824.jpg,1824,28358,14,0.7264,False
18303.jpg,18303,15893,108,0.5871,False
18318.jpg,18318,23842,164,0.6261,False
1833.jpg,1833,17279,410,0.5252,False
18382.jpg,18382,23842,9,0.6622,False
18389.jpg,18389,21060,30,0.7732,False
18438.jpg,18438,11907,541,0.6231,False
18457.jpg,18457,22207,117,0.758,False
18485.jpg,18485,14825,2,0.7803,False
18574.jpg,18574,2188,328,0.6725,False
18595.jpg,18595,23702,79,0.7537,False
18697.jpg,18697,24019,11,0.5618,False
18702.jpg,18702,11008,62,0.715,False
18715.jpg,18715,15681,23,0.7421,False
18763.jpg,18763,17698,36,0.5517,False
18848.jpg,18848,m7,250,0.5625,False
1886.jpg,1886,17279,112,0.6152,False
18936.jpg,18936,23884,246,0.6722,False
18950.jpg,18950,m-098,123,0.6173,False
18982.jpg,18982,28358,18,0.612,False
18999.jpg,18999,m-082,162,0.5621,False
19041.jpg,19041,2188,64,0.7444,False
19054.jpg,19054,17279,146,0.6443,False
19090.jpg,19090,17039,11,0.6513,False
19141.jpg,19141,17104,296,0.5897,False
19182.jpg,19182,29523,240,0.7059,False
19281.jpg,19281,17279,598,0.6245,False
19396.jpg,19396,14499,268,0.7587,False
19407.jpg,19407,14499,254,0.6218,False
1942.jpg,1942,14401,102,0.5142,False
19437.jpg,19437,27390,360,0.7272,False
19466.jpg,19466,19466,1,0.5984,True
19482.jpg,19482,17279,101,0.5965,False
19533.jpg,19533,29264,153,0.6432,False
19584.jpg,19584,m-047,364,0.5863,False
19626.jpg,19626,23884,193,0.7937,False
19628.jpg,19628,18303,9,0.7448,False
19639.jpg,19639,17279,394,0.5735,False
19688.jpg,19688,23884,351,0.6295,False
19705.jpg,19705,11907,258,0.7269,False
19744.jpg,19744,15242,173,0.7392,False
19829.jpg,19829,m-047,15,0.543,False
19871.jpg,19871,m-029,586,0.5364,False
19913.jpg,19913,27744,17,0.702,False
19918.jpg,19918,17279,577,0.5596,False
1996.jpg,1996,15364,5,0.7386,False
19988.jpg,19988,26906,21,0.7008,False
20054.jpg,20054,17279,37,0.6538,False
20108.jpg,20108,18040,220,0.651,False
20135.jpg,20135,23333,348,0.7038,False
20171.jpg,20171,18702,3,0.7757,False
2018.jpg,2018,11907,164,0.7089,False
20207.jpg,20207,23884,437,0.5837,False
20227.jpg,20227,23884,444,0.6777,False
20233.jpg,20233,20233,1,0.7736,True
20246.jpg,20246,20246,1,0.6036,True
20312.jpg,20312,12455,42,0.7077,False
20315.jpg,20315,20233,622,0.6912,False
2035.jpg,2035,11907,19,0.7183,False
2039.jpg,2039,11987,202,0.7097,False
20457.jpg,20457,m-082,383,0.5264,False
20474.jpg,20474,15534,500,0.6078,False
20492.jpg,20492,26842,281,0.6972,False
20611.jpg,20611,23884,269,0.6275,False
20616.jpg,20616,28168,382,0.6037,False
20618.jpg,20618,m-082,137,0.4952,False
20640.jpg,20640,m-082,404,0.5214,False
20645.jpg,20645,16113,570,0.7124,False
20680.jpg,20680,25718,135,0.7594,False
20728.jpg,20728,27728,427,0.6317,False
20794.jpg,20794,23884,288,0.6978,False
20823.jpg,20823,29523,58,0.6376,False
20868.jpg,20868,17279,25,0.6791,False
20903.jpg,20903,23884,478,0.7532,False
2092.jpg,2092,m-029,620,0.604,False
20931.jpg,20931,28308,71,0.722,False
2097.jpg,2097,18040,171,0.6794,False
20998.jpg,20998,19744,64,0.624,False
21004.jpg,21004,28443,590,0.6429,False
21041.jpg,21041,23842,366,0.5944,False
21060.jpg,21060,12455,3,0.7156,False
21076.jpg,21076,14499,256,0.7012,False
21114.jpg,21114,17279,338,0.5605,False
21295.jpg,21295,27744,100,0.6183,False
213.jpg,213,15681,264,0.6945,False
21313.jpg,21313,28358,23,0.5933,False
21360.jpg,21360,m-029,473,0.5787,False
21377.jpg,21377,m-029,324,0.6045,False
21383.jpg,21383,18040,35,0.7223,False
214.jpg,214,11835,30,0.697,False
21451.jpg,21451,17279,508,0.5074,False
21452.jpg,21452,20246,162,0.5484,False
21594.jpg,21594,21594,1,0.5652,True
21613.jpg,21613,11907,40,0.7109,False
21689.jpg,21689,14189,24,0.6969,False
21767.jpg,21767,11907,285,0.5974,False
21790.jpg,21790,20680,341,0.5464,False
21850.jpg,21850,28358,560,0.6099,False
21865.jpg,21865,m-029,158,0.6091,False
2188.jpg,2188,22287,27,0.6568,False
21941.jpg,21941,11907,371,0.6697,False
21956.jpg,21956,11907,78,0.7562,False
21974.jpg,21974,23884,18,0.6864,False
21991.jpg,21991,15251,11,0.6429,False
22062.jpg,22062,m-029,493,0.5454,False
22086.jpg,22086,23111,30,0.6936,False
22105.jpg,22105,17279,17,0.6449,False
2213.jpg,2213,15242,15,0.718,False
22207.jpg,22207,m-054,113,0.4927,False
22273.jpg,22273,17279,337,0.6586,False
22275.jpg,22275,15242,60,0.7563,False
22278.jpg,22278,12592,456,0.6606,False
22287.jpg,22287,19041,6,0.6759,False
22386.jpg,22386,14499,83,0.6255,False
22418.jpg,22418,m-029,198,0.6331,False
22445.jpg,22445,17279,115,0.6345,False
22475.jpg,22475,19466,231,0.5378,False
22477.jpg,22477,16955,5,0.6182,False
22493.jpg,22493,16955,9,0.6474,False
22541.jpg,22541,m-029,416,0.5962,False
22592.jpg,22592,21060,355,0.628,False
22648.jpg,22648,2835,16,0.6292,False
22681.jpg,22681,12910,12,0.6611,False
22810.jpg,22810,m-029,277,0.5679,False
22907.jpg,22907,22907,1,0.6432,True
23059.jpg,23059,11907,244,0.5835,False
23111.jpg,23111,1701,31,0.7106,False
23156.jpg,23156,m7,49,0.6912,False
23202.jpg,23202,24471,328,0.6044,False
2322.jpg,2322,27728,218,0.6435,False
23259.jpg,23259,m-082,47,0.5246,False
23293.jpg,23293,22287,101,0.7152,False
23295.jpg,23295,23842,241,0.7075,False
23318.jpg,23318,19054,62,0.6548,False
2332.jpg,2332,m-029,249,0.6654,False
23329.jpg,23329,15633,175,0.5925,False
23333.jpg,23333,23333,1,0.7538,True
2335.jpg,2335,26906,390,0.6221,False
2342.jpg,2342,m-099,372,0.6335,False
23577.jpg,23577,24471,21,0.5702,False
23620.jpg,23620,12455,143,0.6361,False
23639.jpg,23639,26906,22,0.6716,False
23702.jpg,23702,11907,9,0.704,False
23717.jpg,23717,m-082,64,0.6297,False
23718.jpg,23718,17279,161,0.6504,False
2372.jpg,2372,29264,18,0.7394,False
23737.jpg,23737,15534,620,0.5506,False
23750.jpg,23750,17279,340,0.6286,False
23753.jpg,23753,17279,334,0.6348,False
23842.jpg,23842,m-029,5,0.5866,False
23866.jpg,23866,m7,10,0.6449,False
23884.jpg,23884,17279,54,0.5751,False
23899.jpg,23899,11468,156,0.6852,False
23910.jpg,23910,23910,1,0.656,True
23942.jpg,23942,23884,247,0.6549,False
23989.jpg,23989,14499,138,0.6047,False
24019.jpg,24019,28168,494,0.5998,False
2418.jpg,2418,24734,198,0.6372,False
24182.jpg,24182,1886,14,0.7117,False
24231.jpg,24231,17279,547,0.5703,False
24282.jpg,24282,21613,303,0.6986,False
24286.jpg,24286,12285,90,0.6966,False
24305.jpg,24305,13702,51,0.5377,False
24385.jpg,24385,15242,217,0.6943,False
24417.jpg,24417,15242,105,0.6762,False
24424.jpg,24424,22648,260,0.6568,False
24428.jpg,24428,m7,189,0.6195,False
24431.jpg,24431,m-029,369,0.5323,False
24466.jpg,24466,23842,347,0.6204,False
24471.jpg,24471,23842,317,0.6157,False
24521.jpg,24521,17279,385,0.6345,False
24543.jpg,24543,28358,82,0.5833,False
24585.jpg,24585,14499,37,0.6993,False
24734.jpg,24734,1701,44,0.7697,False
24819.jpg,24819,15534,255,0.6355,False
2488.jpg,2488,17279,501,0.653,False
24997.jpg,24997,16441,189,0.6367,False
2501.jpg,2501,17513,173,0.6527,False
2504.jpg,2504,25718,196,0.7575,False
25094.jpg,25094,m-094,110,0.4704,False
25114.jpg,25114,11907,42,0.6387,False
25183.jpg,25183,10517,165,0.6018,False
25210.jpg,25210,25718,54,0.6678,False
25235.jpg,25235,23259,32,0.6802,False
25276.jpg,25276,23884,112,0.7143,False
25306.jpg,25306,m-098,137,0.6278,False
2536.jpg,2536,m-098,97,0.5515,False
25361.jpg,25361,23842,623,0.6047,False
25392.jpg,25392,22105,73,0.6577,False
25453.jpg,25453,22105,3,0.6712,False
25524.jpg,25524,17279,548,0.577,False
25549.jpg,25549,29523,363,0.5741,False
25626.jpg,25626,23639,126,0.6906,False
25631.jpg,25631,17279,202,0.6207,False
25689.jpg,25689,23884,97,0.6797,False
25718.jpg,25718,27744,5,0.6762,False
25775.jpg,25775,17279,140,0.6113,False
25787.jpg,25787,28358,114,0.6117,False
25815.jpg,25815,m-029,285,0.5604,False
25905.jpg,25905,20312,84,0.6406,False
25949.jpg,25949,12455,132,0.6541,False
25981.jpg,25981,11907,90,0.6694,False
26069.jpg,26069,17279,69,0.5405,False
26148.jpg,26148,17279,412,0.5236,False
26166.jpg,26166,15534,609,0.5352,False
26185.jpg,26185,15534,396,0.6702,False
26265.jpg,26265,23639,67,0.7183,False
26328.jpg,26328,m7,112,0.5924,False
26379.jpg,26379,23702,510,0.7343,False
26444.jpg,26444,28358,209,0.674,False
26555.jpg,26555,17279,554,0.6314,False
26567.jpg,26567,28168,261,0.5417,False
26568.jpg,26568,28358,102,0.6254,False
26579.jpg,26579,15534,458,0.5374,False
26712.jpg,26712,17279,307,0.5482,False
26758.jpg,26758,23884,239,0.694,False
2678.jpg,2678,23333,317,0.6848,False
26811.jpg,26811,11907,212,0.6121,False
2683.jpg,2683,16955,5,0.6324,False
26842.jpg,26842,15364,10,0.7111,False
26855.jpg,26855,17279,673,0.5465,False
269.jpg,269,11907,40,0.7097,False
26905.jpg,26905,23884,167,0.5945,False
26906.jpg,26906,17279,6,0.6142,False
26909.jpg,26909,23639,298,0.6612,False
26950.jpg,26950,m-029,296,0.5781,False
26975.jpg,26975,23639,318,0.6638,False
27019.jpg,27019,15242,54,0.7251,False
27089.jpg,27089,23842,509,0.5357,False
27105.jpg,27105,28443,575,0.6808,False
27211.jpg,27211,15534,26,0.5977,False
27247.jpg,27247,22207,61,0.7375,False
2725.jpg,2725,11907,245,0.6408,False
2726.jpg,2726,12455,254,0.7097,False
27308.jpg,27308,15534,560,0.5228,False
27390.jpg,27390,m-029,255,0.5516,False
27437.jpg,27437,14499,406,0.676,False
2748.jpg,2748,14499,51,0.6913,False
275.jpg,275,20135,144,0.5685,False
27547.jpg,27547,m7,351,0.5316,False
27565.jpg,27565,27565,1,0.7432,True
27728.jpg,27728,17279,28,0.5552,False
27744.jpg,27744,12910,7,0.7204,False
27834.jpg,27834,14499,105,0.6239,False
27923.jpg,27923,17279,39,0.6617,False
27958.jpg,27958,m-082,72,0.52,False
2797.jpg,2797,18040,417,0.658,False
27974.jpg,27974,25718,92,0.5859,False
28002.jpg,28002,17279,111,0.5696,False
28022.jpg,28022,17279,16,0.5675,False
28168.jpg,28168,28168,1,0.5245,True
28172.jpg,28172,15242,521,0.7235,False
28193.jpg,28193,29523,463,0.7038,False
28279.jpg,28279,12971,604,0.7263,False
28308.jpg,28308,m-082,378,0.5718,False
2835.jpg,2835,15242,133,0.7071,False
28358.jpg,28358,1701,3,0.6698,False
28381.jpg,28381,17279,2,0.6205,False
28409.jpg,28409,28409,1,0.7268,True
28443.jpg,28443,19466,10,0.561,False
28479.jpg,28479,14401,35,0.7076,False
28500.jpg,28500,m1-028,314,0.5868,False
28508.jpg,28508,m-082,508,0.5295,False
28630.jpg,28630,27744,3,0.6957,False
28666.jpg,28666,m-029,20,0.6665,False
2873.jpg,2873,m-082,324,0.593,False
28888.jpg,28888,m-029,569,0.5723,False
28930.jpg,28930,14499,18,0.6231,False
29039.jpg,29039,11907,135,0.6731,False
29050.jpg,29050,25114,503,0.6886,False
2910.jpg,2910,m-029,257,0.61,False
29148.jpg,29148,19054,69,0.6768,False
29264.jpg,29264,22207,3,0.7815,False
29265.jpg,29265,23111,345,0.6098,False
29316.jpg,29316,17279,127,0.6117,False
2934.jpg,2934,2934,1,0.6548,True
29401.jpg,29401,17279,624,0.6477,False
29425.jpg,29425,17279,454,0.638,False
29466.jpg,29466,28358,96,0.6051,False
29523.jpg,29523,18040,120,0.5095,False
29574.jpg,29574,11468,330,0.6345,False
29605.jpg,29605,17279,538,0.5789,False
29609.jpg,29609,17279,240,0.5164,False
29634.jpg,29634,23884,554,0.6708,False
29663.jpg,29663,22477,690,0.674,False
29709.jpg,29709,16113,690,0.77,False
29775.jpg,29775,23842,690,0.6423,False
29789.jpg,29789,17279,690,0.6119,False
29818.jpg,29818,23702,690,0.7097,False
29960.jpg,29960,m-029,690,0.5233,False
3036.jpg,3036,15211,690,0.7198,False
3041.jpg,3041,m-082,690,0.5683,False
3057.jpg,3057,17279,690,0.5928,False
312.jpg,312,29264,690,0.6692,False
3123.jpg,3123,22207,690,0.7022,False
3133.jpg,3133,23884,690,0.6547,False
3179.jpg,3179,29264,690,0.7214,False
3188.jpg,3188,1701,690,0.7034,False
3191.jpg,3191,m-029,690,0.6105,False
3208.jpg,3208,m-098,690,0.6085,False
3296.jpg,3296,14914,690,0.6082,False
3302.jpg,3302,m-029,690,0.5114,False
334.jpg,334,m15,690,0.5118,False
3359.jpg,3359,26906,690,0.7424,False
3429.jpg,3429,11907,690,0.7126,False
3448.jpg,3448,18040,690,0.6303,False
3454.jpg,3454,23333,690,0.6436,False
3591.jpg,3591,m-099,690,0.5992,False
3600.jpg,3600,16441,690,0.6419,False
3716.jpg,3716,10662,690,0.624,False
3740.jpg,3740,17279,690,0.6009,False
3910.jpg,3910,18040,690,0.5352,False
3954.jpg,3954,28358,690,0.6063,False
3959.jpg,3959,17279,690,0.6426,False
3978.jpg,3978,18218,690,0.7604,False
4.jpg,4,22275,690,0.6208,False
406.jpg,406,11907,690,0.6642,False
4074.jpg,4074,11907,690,0.676,False
408.jpg,408,18848,690,0.6448,False
4118.jpg,4118,22477,690,0.6604,False
4153.jpg,4153,29523,690,0.6831,False
423.jpg,423,15364,690,0.6631,False
4235.jpg,4235,23884,690,0.6921,False
4315.jpg,4315,17279,690,0.6473,False
4378.jpg,4378,14499,690,0.7208,False
4415.jpg,4415,2188,690,0.7218,False
4479.jpg,4479,1942,690,0.6795,False
4513.jpg,4513,m-082,690,0.5476,False
4515.jpg,4515,22207,690,0.6777,False
4533.jpg,4533,27728,690,0.6173,False
4583.jpg,4583,15893,690,0.6656,False
4763.jpg,4763,28168,690,0.5976,False
4782.jpg,4782,26906,690,0.7069,False
4783.jpg,4783,16441,690,0.7181,False
4823.jpg,4823,14014,690,0.4947,False
4825.jpg,4825,11907,690,0.693,False
4856.jpg,4856,22105,690,0.6651,False
4888.jpg,4888,26567,690,0.6729,False
4947.jpg,4947,13920,690,0.5785,False
4971.jpg,4971,23702,690,0.7639,False
505.jpg,505,11907,690,0.7172,False
506.jpg,506,14499,690,0.7633,False
5141.jpg,5141,23884,690,0.6441,False
5189.jpg,5189,23884,690,0.7463,False
522.jpg,522,17279,690,0.626,False
5269.jpg,5269,14499,690,0.7216,False
5298.jpg,5298,21594,690,0.662,False
531.jpg,531,15242,690,0.7709,False
5462.jpg,5462,20312,690,0.6171,False
5498.jpg,5498,17104,690,0.5891,False
5517.jpg,5517,27390,690,0.7455,False
5539.jpg,5539,25114,690,0.6869,False
5541.jpg,5541,15633,690,0.5428,False
5542.jpg,5542,11907,690,0.6171,False
5661.jpg,5661,17279,690,0.686,False
568.jpg,568,28002,690,0.7179,False
5690.jpg,5690,18040,690,0.6835,False
57.jpg,57,25718,690,0.7181,False
5763.jpg,5763,14914,690,0.7329,False
5837.jpg,5837,11907,690,0.7625,False
5910.jpg,5910,28358,690,0.6402,False
5914.jpg,5914,12455,690,0.7036,False
5960.jpg,5960,m2,690,0.6048,False
6122.jpg,6122,18171,690,0.7209,False
6129.jpg,6129,12455,690,0.6858,False
6138.jpg,6138,28358,690,0.6081,False
616.jpg,616,22477,690,0.5634,False
624.jpg,624,26906,690,0.7814,False
6324.jpg,6324,15242,690,0.7479,False
6363.jpg,6363,26906,690,0.734,False
6415.jpg,6415,22105,690,0.6661,False
6457.jpg,6457,28358,690,0.5944,False
6476.jpg,6476,17279,690,0.5669,False
6503.jpg,6503,24385,690,0.6738,False
66.jpg,66,15534,690,0.6444,False
6601.jpg,6601,14733,690,0.7575,False
6609.jpg,6609,15242,690,0.6975,False
6642.jpg,6642,22207,690,0.6603,False
6647.jpg,6647,17279,690,0.6439,False
6689.jpg,6689,21360,690,0.7511,False
6827.jpg,6827,17279,690,0.5674,False
692.jpg,692,23702,690,0.7018,False
7037.jpg,7037,26906,690,0.6341,False
7119.jpg,7119,15242,690,0.7095,False
7127.jpg,7127,23259,690,0.6377,False
7136.jpg,7136,m-082,690,0.5845,False
7143.jpg,7143,14116,690,0.7306,False
7146.jpg,7146,14914,690,0.6175,False
723.jpg,723,23884,690,0.6775,False
7251.jpg,7251,27744,690,0.6827,False
7349.jpg,7349,11218,690,0.5199,False
7435.jpg,7435,15242,690,0.7114,False
7440.jpg,7440,29574,690,0.603,False
7464.jpg,7464,23111,690,0.7553,False
7484.jpg,7484,14189,690,0.6592,False
755.jpg,755,11907,690,0.6589,False
7567.jpg,7567,m-029,690,0.635,False
7589.jpg,7589,17279,690,0.6793,False
7683.jpg,7683,28308,690,0.7136,False
7701.jpg,7701,28381,690,0.7031,False
7735.jpg,7735,23702,690,0.6966,False
774.jpg,774,14213,690,0.6614,False
7822.jpg,7822,11907,690,0.6162,False
7840.jpg,7840,28002,690,0.7231,False
7845.jpg,7845,17279,690,0.5576,False
788.jpg,788,19437,690,0.6466,False
7936.jpg,7936,16955,690,0.69,False
800.jpg,800,12455,690,0.7078,False
8007.jpg,8007,17104,690,0.6636,False
8019.jpg,8019,19466,690,0.5902,False
8035.jpg,8035,16441,690,0.704,False
8084.jpg,8084,14499,690,0.7156,False
8108.jpg,8108,11907,690,0.5981,False
8129.jpg,8129,11008,690,0.6597,False
82.jpg,82,15242,690,0.6952,False
8235.jpg,8235,22207,690,0.737,False
828.jpg,828,17279,690,0.591,False
8342.jpg,8342,14083,690,0.6431,False
8344.jpg,8344,14213,690,0.6494,False
