query_path,ground_truth_pid,rank,top1_predicted_pid,top1_score
F2-036-01-sz1.jpg,F2-036,NOT_FOUND,f-036,0.7913
F2-037-01-sz1.jpg,F2-037,NOT_FOUND,f-037,0.842
F2-038-01-sz1.jpg,F2-038,NOT_FOUND,f1-001,0.7242
M2-008-01-sz1.jpg,M2-008,NOT_FOUND,m5,0.739
M2-009-01-sz1.jpg,M2-009,NOT_FOUND,m-009,0.8243
M2-010-01-sz1.jpg,M20,NOT_FOUND,m0,0.7913
M2-011-01-sz1.jpg,M21,NOT_FOUND,m1,0.7994
M2-012-01-sz1.jpg,M22,NOT_FOUND,m2,0.8049
M2-013-01-sz1.jpg,M23,NOT_FOUND,m3,0.8074
M2-014-01-sz1.jpg,M24,NOT_FOUND,m4,0.8216
M2-015-01-sz1.jpg,M25,NOT_FOUND,m5,0.8161
M2-016-01-sz1.jpg,M26,NOT_FOUND,m6,0.7817
M2-017-01-sz1.jpg,M27,NOT_FOUND,m7,0.8138
M2-018-01-sz1.jpg,M28,NOT_FOUND,m8,0.8177
M2-019-01-sz1.jpg,M29,NOT_FOUND,m9,0.8187
M2-021-01-sz1.jpg,M2-021,NOT_FOUND,m-021,0.8118
M2-022-01-sz1.jpg,M2-022,NOT_FOUND,m-022,0.8035
M2-023-01-sz1.jpg,M2-023,NOT_FOUND,m-023,0.8223
M2-024-01-sz1.jpg,M2-024,NOT_FOUND,m-024,0.8025
M2-025-01-sz1.jpg,M2-025,NOT_FOUND,m-025,0.8223
M2-026-01-sz1.jpg,M2-026,NOT_FOUND,m-026,0.7552
M2-027-01-sz1.jpg,M2-027,NOT_FOUND,m-027,0.8336
M2-028-01-sz1.jpg,M2-028,NOT_FOUND,m-028,0.8147
M2-029-01-sz1.jpg,M2-029,NOT_FOUND,m-029,0.8294
M2-030-01-sz1.jpg,M2-030,NOT_FOUND,m-030,0.8232
M2-031-01-sz1.jpg,M2-031,NOT_FOUND,m-031,0.7977
M2-032-01-sz1.jpg,M2-032,NOT_FOUND,m-027,0.7454
M2-033-01-sz1.jpg,M2-033,NOT_FOUND,m-033,0.8027
M2-034-01-sz1.jpg,M2-034,NOT_FOUND,m-034,0.8093
M2-035-01-sz1.jpg,M2-035,NOT_FOUND,m-035,0.7866
M2-036-01-sz1.jpg,M2-036,NOT_FOUND,m-036,0.8329
M2-037-01-sz1.jpg,M2-037,NOT_FOUND,m-037,0.7955
M2-038-01-sz1.jpg,M2-038,NOT_FOUND,m-038,0.7866
M2-039-01-sz1.jpg,M2-039,NOT_FOUND,m-039,0.8268
M2-040-01-sz1.jpg,M2-040,NOT_FOUND,m-040,0.8091
M2-041-01-sz1.jpg,M2-041,NOT_FOUND,m-041,0.7962
M2-042-01-sz1.jpg,M2-042,NOT_FOUND,m-042,0.752
M2-043-01-sz1.jpg,M2-043,NOT_FOUND,m-043,0.7956
M2-044-01-sz1.jpg,M2-044,NOT_FOUND,m-044,0.8095
M2-045-01-sz1.jpg,M2-045,NOT_FOUND,m-045,0.805
M2-046-01-sz1.jpg,M2-046,NOT_FOUND,m-046,0.7771
M2-047-01-sz1.jpg,M2-047,NOT_FOUND,m-047,0.8361
M2-048-01-sz1.jpg,M2-048,NOT_FOUND,m-048,0.8099
M2-049-01-sz1.jpg,M2-049,NOT_FOUND,m-049,0.8214
M2-050-01-sz1.jpg,M2-050,NOT_FOUND,m-050,0.7603
M2-051-01-sz1.jpg,M2-051,NOT_FOUND,m-051,0.8456
M2-052-01-sz1.jpg,M2-052,NOT_FOUND,m-052,0.7829
M2-053-01-sz1.jpg,M2-053,NOT_FOUND,m-053,0.8339
M2-054-01-sz1.jpg,M2-054,NOT_FOUND,m-054,0.7614
M2-055-01-sz1.jpg,M2-055,NOT_FOUND,m-055,0.8132
M2-056-01-sz1.jpg,M2-056,NOT_FOUND,m-056,0.7676
M2-057-01-sz1.jpg,M2-057,NOT_FOUND,m-045,0.749
M2-058-01-sz1.jpg,M2-058,NOT_FOUND,m-058,0.7719
M2-059-01-sz1.jpg,M2-059,NOT_FOUND,m-059,0.8018
M2-060-01-sz1.jpg,M2-060,NOT_FOUND,m-060,0.844
M2-061-01-sz1.jpg,M2-061,NOT_FOUND,m-061,0.8284
M2-062-01-sz1.jpg,M2-062,NOT_FOUND,m-062,0.8123
a-sharukh-1.jpg,a-sharukh,189,m-088,0.4597
a-sharukh-2.jpg,a-sharukh,189,f-024,0.4009
f-039-01-sz1.jpg,f-039,5,f-021,0.7695
f-040-01-sz1.jpg,f-040,1,f-040,0.8105
f-041-01-sz1.jpg,f-041,1,f-041,0.7781
f-042-01-sz1.jpg,f-042,1,f-042,0.846
f-043-01-sz1.jpg,f-043,1,f-043,0.821
f1-001-01-sz1.jpg,f1-001,1,f1-001,0.8107
f1-002-01-sz1.jpg,f1-002,1,f1-002,0.7618
f1-003-01-sz1.jpg,f1-003,1,f1-003,0.8282
f1-004-01-sz1.jpg,f1-004,1,f1-004,0.7827
f1-005-01-sz1.jpg,f1-005,1,f1-005,0.7821
f1-006-01-sz1.jpg,f1-006,6,f1-001,0.7609
f1-007-01-sz1.jpg,f1-007,1,f1-007,0.8192
f1-008-01-sz1.jpg,f1-008,1,f1-008,0.7803
f1-009-01-sz1.jpg,f1-009,1,f1-009,0.7611
f1-010-01-sz1.jpg,f10,1,f10,0.7574
f1-011-01-sz1.jpg,f11,1,f11,0.7726
f1-012-01-sz1.jpg,f12,1,f12,0.7583
f1-013-01-sz1.jpg,f13,1,f13,0.7695
f1-014-01-sz1.jpg,f14,1,f14,0.7557
f1-015-01-sz1.jpg,f15,1,f15,0.765
m-063-01-sz1.jpg,m-063,1,m-063,0.7997
m-064-01-sz1.jpg,m-064,1,m-064,0.78
m-065-01-sz1.jpg,m-065,1,m-065,0.7903
m-066-01-sz1.jpg,m-066,1,m-066,0.7997
m-067-01-sz1.jpg,m-067,1,m-067,0.8131
m-068-01-sz1.jpg,m-068,1,m-068,0.7512
m-069-01-sz1.jpg,m-069,1,m-069,0.7623
m-070-01-sz1.jpg,m-070,1,m-070,0.778
m-071-01-sz1.jpg,m-071,1,m-071,0.7573
m-072-01-sz1.jpg,m-072,1,m-072,0.7473
m-073-01-sz1.jpg,m-073,1,m-073,0.7708
m-074-01-sz1.jpg,m-074,3,m-047,0.7405
m-075-01-sz1.jpg,m-075,1,m-075,0.8023
m-076-01-sz1.jpg,m-076,1,m-076,0.7729
m-077-01-sz1.jpg,m-077,1,m-077,0.7735
m-078-01-sz1.jpg,m-078,1,m-078,0.7521
m-079-01-sz1.jpg,m-079,1,m-079,0.8023
m-080-01-sz1.jpg,m-080,1,m-080,0.8132
m-081-01-sz1.jpg,m-081,1,m-081,0.751
m-082-01-sz1.jpg,m-082,1,m-082,0.7256
m-083-01-sz1.jpg,m-083,1,m-083,0.813
m-084-01-sz1.jpg,m-084,1,m-084,0.7678
m-085-01-sz1.jpg,m-085,1,m-085,0.7926
m-086-01-sz1.jpg,m-086,1,m-086,0.7552
m-087-01-sz1.jpg,m-087,1,m-087,0.7866
m-088-01-sz1.jpg,m-088,1,m-088,0.7897
m-089-01-sz1.jpg,m-089,1,m-089,0.8023
m-090-01-sz1.jpg,m-090,1,m-090,0.771
m-091-01-sz1.jpg,m-091,1,m-091,0.7914
m-092-01-sz1.jpg,m-092,1,m-092,0.7644
m-093-01-sz1.jpg,m-093,1,m-093,0.7788
m-094-01-sz1.jpg,m-094,1,m-094,0.7784
m-095-01-sz1.jpg,m-095,1,m-095,0.7857
m-096-01-sz1.jpg,m-096,1,m-096,0.7631
m-097-01-sz1.jpg,m-097,1,m-097,0.806
m-098-01-sz1.jpg,m-098,1,m-098,0.7697
m-099-01-sz1.jpg,m-099,1,m-099,0.7825
m-100-01-sz1.jpg,m-100,2,m-053,0.7618
m-101-01-sz1.jpg,m-101,1,m-101,0.8377
m1-001-01-sz1.jpg,m1-001,1,m1-001,0.7686
m1-002-01-sz1.jpg,m1-002,1,m1-002,0.7835
m1-003-01-sz1.jpg,m1-003,2,m-101,0.7625
m1-004-01-sz1.jpg,m1-004,1,m1-004,0.8082
m1-005-01-sz1.jpg,m1-005,1,m1-005,0.8122
m1-006-01-sz1.jpg,m1-006,1,m1-006,0.8042
m1-007-01-sz1.jpg,m1-007,2,m1-031,0.7638
m1-008-01-sz1.jpg,m1-008,1,m1-008,0.8121
m1-009-01-sz1.jpg,m1-009,1,m1-009,0.7358
m1-010-01-sz1.jpg,m10,1,m10,0.7921
m1-011-01-sz1.jpg,m11,2,m-101,0.7725
m1-012-01-sz1.jpg,m12,1,m12,0.8096
m1-013-01-sz1.jpg,m13,1,m13,0.8203
m1-014-01-sz1.jpg,m14,1,m14,0.7892
m1-015-01-sz1.jpg,m15,1,m15,0.7977
m1-016-01-sz1.jpg,m16,2,m18,0.7997
m1-017-01-sz1.jpg,m17,1,m17,0.8051
m1-018-01-sz1.jpg,m18,1,m18,0.8369
m1-019-01-sz1.jpg,m19,1,m19,0.7457
m1-020-01-sz1.jpg,m1-020,1,m1-020,0.8149
m1-021-01-sz1.jpg,m1-021,1,m1-021,0.7932
m1-022-01-sz1.jpg,m1-022,1,m1-022,0.6973
m1-023-01-sz1.jpg,m1-023,1,m1-023,0.771
m1-024-01-sz1.jpg,m1-024,1,m1-024,0.7804
m1-025-01-sz1.jpg,m1-025,1,m1-025,0.815
m1-026-01-sz1.jpg,m1-026,1,m1-026,0.7514
m1-027-01-sz1.jpg,m1-027,2,m2,0.7762
m1-028-01-sz1.jpg,m1-028,1,m1-028,0.8113
m1-029-01-sz1.jpg,m1-029,1,m1-029,0.8344
m1-030-01-sz1.jpg,m1-030,1,m1-030,0.8079
m1-031-01-sz1.jpg,m1-031,1,m1-031,0.8023
m1-032-01-sz1.jpg,m1-032,1,m1-032,0.7902
m1-033-01-sz1.jpg,m1-033,1,m1-033,0.7819
m1-034-01-sz1.jpg,m1-034,1,m1-034,0.7938
m1-035-01-sz1.jpg,m1-035,1,m1-035,0.7827
m1-036-01-sz1.jpg,m1-036,1,m1-036,0.7706
m1-037-01-sz1.jpg,m1-037,1,m1-037,0.7791
m1-038-01-sz1.jpg,m1-038,1,m1-038,0.7836
m1-039-01-sz1.jpg,m1-039,1,m1-039,0.8313
m1-040-01-sz1.jpg,m1-040,1,m1-040,0.7905
m1-041-01-sz1.jpg,m1-041,1,m1-041,0.7979
